X,Y,Z,TWT auto,MD,Type,Surface,Well,Interpreter,Used by dep.conv.,Used by geo mod,Zone log,Edited by user,Symbol,Locked to fault
422230.79,6386254.73,11812.0,3090.33,11893.0,Horizon,Hirda Fm,22/14-1,jnasseri,True,True,17.0,False,0,0
422064.91,6378868.14,11564.94,3105.79,12056.0,Horizon,Hirda Fm,22/14b-3,jnasseri,True,True,17.0,False,0,0
414062.62,6375625.67,11889.04,3142.87,11981.0,Horizon,Hirda Fm,22/13b-9,jnasseri,True,True,17.0,False,0,0
417732.89,6385535.16,11931.99,3126.09,12267.0,Horizon,Hirda Fm,22/14b-5,jnasseri,True,True,17.0,False,0,0
424555.4,6370280.17,12776.99,3297.34,12864.0,Horizon,Rodby Fm,22/19-2,jnasseri,True,True,18.0,False,0,0
434444.4,6370379.08,13371.17,3437.69,13455.0,Horizon,Rodby Fm,22/20-1,jnasseri,True,True,18.0,False,0,0
423268.71,6389777.53,12080.07,3137.27,12186.5,Horizon,Rodby Fm,22/14a-7,jnasseri,True,True,18.0,False,0,0
416304.98,6404573.35,12978.0,3216.44,13061.0,Horizon,Rodby Fm,22/8a-2,jnasseri,True,True,18.0,False,0,0
420162.57,6405005.79,13259.97,3319.78,13398.0,Horizon,Rodby Fm,22/9-5,jnasseri,True,True,18.0,False,0,0
422230.79,6386254.73,12134.0,3130.28,12215.0,Horizon,Rodby Fm,22/14-1,jnasseri,True,True,18.0,False,0,0
414062.7,6375625.86,11999.03,3157.79,12091.0,Horizon,Rodby Fm,22/13b-9,jnasseri,True,True,18.0,False,0,0
431447.77,6380129.84,12071.59,3178.86,12152.0,Horizon,Rodby Fm,22/15-1,jnasseri,True,True,18.0,False,0,0
432130.96,6388342.97,11144.29,3014.69,11243.0,Horizon,Rodby Fm,22/15-2,jnasseri,True,True,18.0,False,0,0
426909.76,6392021.43,11831.0,3100.38,11913.0,Horizon,Sola Fm,22/14a-2,jnasseri,True,True,19.0,False,0,0
424555.67,6370282.02,12891.83,3315.23,12979.0,Horizon,Sola Fm,22/19-2,jnasseri,True,True,19.0,False,0,0
434443.43,6370378.22,13682.14,3482.73,13766.0,Horizon,Sola Fm,22/20-1,jnasseri,True,True,19.0,False,0,0
416304.98,6404573.35,13227.0,3265.29,13310.0,Horizon,Sola Fm,22/8a-2,jnasseri,True,True,19.0,False,0,0
410598.6,6386031.28,12397.66,3241.11,12638.0,Horizon,Sola Fm,22/13b-3,jnasseri,True,True,19.0,False,0,0
422230.79,6386254.73,12229.0,3145.39,12310.0,Horizon,Sola Fm,22/14-1,jnasseri,True,True,19.0,False,0,0
